Name,Price,Mileage,URL
2012 Hyundai Sonata,"$5,980","162,858 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AC9CH500355/?national=true&radius=6000
2012 Hyundai Sonata,"$7,410","123,562 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AC4CH325738/?national=true&radius=6000
2012 Hyundai Sonata,"$5,499","196,445 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC2CH480551/?national=true&radius=6000
2012 Hyundai Sonata,"$6,000","149,042 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AC0CH438053/?national=true&radius=6000
2012 Hyundai Sonata,"$9,433","58,023 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC9CH382391/?national=true&radius=6000
2012 Hyundai Sonata,"$9,000","75,649 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AC9CH394523/?national=true&radius=6000
2012 Hyundai Sonata,"$9,559","70,038 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AB6CH452532/?national=true&radius=6000
2012 Hyundai Sonata,"$12,298","136,770 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC2CH471946/?national=true&radius=6000
2012 Hyundai Sonata,"$9,995","119,781 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AC4CH365656/?national=true&radius=6000
2012 Hyundai Sonata,"$1,950","197,801 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4ACXCH456725/?national=true&radius=6000
2012 Hyundai Sonata,"$12,599","112,402 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AC2CH465092/?national=true&radius=6000
2012 Hyundai Sonata,"$10,998","127,000 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC1CH416209/?national=true&radius=6000
2012 Hyundai Sonata,"$12,998","80,590 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC2CH496989/?national=true&radius=6000
2012 Hyundai Sonata,"$7,500","179,258 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC6CH368500/?national=true&radius=6000
2012 Hyundai Sonata,"$9,998","116,224 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC2CH371247/?national=true&radius=6000
2012 Hyundai Sonata,"$11,998","127,620 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AB8CH461426/?national=true&radius=6000
2012 Hyundai Sonata,"$6,995","158,987 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC4CH461046/?national=true&radius=6000
2012 Hyundai Sonata,"$10,998","86,085 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEC4AC7CH390812/?national=true&radius=6000
2011 Hyundai Sonata,"$6,200","129,593 miles",https://www.edmunds.com/hyundai/sonata/2011/vin/5NPEB4AC2BH043065/?national=true&radius=6000
2012 Hyundai Sonata,"$9,981","103,993 miles",https://www.edmunds.com/hyundai/sonata/2012/vin/5NPEB4AC9CH411016/?national=true&radius=6000
2011 Hyundai Sonata,"$4,500","109,599 miles",https://www.edmunds.com/hyundai/sonata/2011/vin/5NPEB4AC4BH170772/?national=true&radius=6000
